q I dI
0.02228 7.648072e-01 6.221360e-03
0.02406 7.740445e-01 5.825931e-03
0.02599 7.957345e-01 5.287549e-03
0.02807 8.056246e-01 4.852669e-03
0.03031 8.301392e-01 4.613267e-03
0.03274 8.467960e-01 4.248737e-03
0.03536 8.802402e-01 4.074152e-03
0.03818 9.193559e-01 3.805250e-03
0.04124 9.459609e-01 3.612239e-03
0.04454 9.906322e-01 3.424637e-03
0.04810 1.027036e+00 3.255016e-03
0.05195 1.071518e+00 3.103283e-03
0.05610 1.117004e+00 2.951796e-03
0.06059 1.160620e+00 2.839137e-03
0.06544 1.203938e+00 2.716347e-03
0.07068 1.221594e+00 2.588965e-03
0.07633 1.228151e+00 2.450927e-03
0.08244 1.210936e+00 2.318271e-03
0.08903 1.165357e+00 2.174894e-03
0.09615 1.086705e+00 2.012784e-03
0.10384 9.936167e-01 1.855420e-03
0.11215 8.791308e-01 1.696734e-03
0.12112 7.568466e-01 1.538823e-03
0.13081 6.354855e-01 1.380348e-03
0.14128 5.215076e-01 1.237935e-03
0.15258 4.138254e-01 1.100005e-03
0.16479 3.209788e-01 9.782808e-04
0.17797 2.376249e-01 8.700952e-04
0.19221 1.736571e-01 7.852534e-04
0.20759 1.236606e-01 7.138569e-04
0.22419 9.007284e-02 6.639355e-04
0.24213 6.963528e-02 6.376948e-04
0.26150 5.718108e-02 6.321441e-04
0.28242 5.218957e-02 6.385086e-04
0.30514 5.015608e-02 6.557093e-04
0.33602 4.702393e-02 5.781489e-04
0.37634 4.277688e-02 6.566432e-04
0.42150 3.747409e-02 8.055454e-04
0.47208 3.612837e-02 1.019261e-03
0.52873 3.408835e-02 1.216575e-03
0.59218 3.331052e-02 1.470869e-03
0.66324 3.306427e-02 2.079826e-03
0.74283 2.776399e-02 3.712539e-03
0.83197 1.333951e-02 1.165788e-02
